surface_composition,facet,adsorbate,reaction_energy_eV
Rh3Al,111,OH*,-0.00385
Ti3Sn,111,OH*,-2.20385
Pt3Cu,111,OH*,0.89615
La3Cd,111,OH*,-2.02385
La3Ga,111,OH*,-2.01385
NbW15O48,1,OH*,-0.00595773
La3Sn,111,OH*,-2.13385
NbW15O48,1,OH*,2.27994453
NbW15O47,1,OOH*,3.21329313
Co3Ir,111,OH*,-0.06385
Pt3Mo,111,OH*,-0.40385
Cd3Pt,111,OH*,0.24615
Pb3Sc,111,OH*,-1.33385
Nb3Ga,111,OH*,-1.80385
La3Sb,111,OH*,-2.19385
NbW15O47,1,OOH*,4.46752064
NbW15HO48,1,OOH*,4.55424807
NbW15O48,1,OOH*,4.55261329
TiW15O47,1,OOH*,4.58855445
NbW15O48,1,OOH*,4.34724284
TaW15O47,1,OH*,0.91061025
TaW15O47,1,OH*,-0.28790338
FeW15HO48,1,OOH*,4.57658821
IrO2,110,OOH*,2.54138172804
TaW15HO48,1,OH*,0.7920404
TaW15O48,1,OH*,2.10278029
Ru3V,111,OH*,-0.47385
TaW15O48,1,OH*,0.48733673
Re3Rh,111,OH*,-0.93385
Rh3Ta,111,OH*,-1.22385
Zn3Ta,111,OH*,-1.81385
Al3V,111,OH*,-0.45385
Rh3In,111,OH*,0.54615
TaW15O47,1,OOH*,4.33735049
TaW15HO48,1,OOH*,4.80885986
Ir3La,111,OH*,-0.44385
TaW15HO48,1,OOH*,4.25472763
TaW15O48,1,OOH*,4.80269361
Pd3Tl,111,OH*,0.88615
TaW15O48,1,OOH*,3.84661689
VW15O47,1,OH*,1.27973934
Ir3Fe,111,OH*,0.46615
VW15HO48,1,OH*,2.07744699
Sn3Zr,111,OH*,-1.16385
Bi3Sc,111,OH*,-1.21385
Mo3Pt,111,OH*,-1.18385
VW15O47,1,OH*,-0.48067592
Hf3Ge,111,OH*,-2.11385
Ga3Hf,111,OH*,-0.67385
mildly reduced graphene oxide,monolayer,OH*,0.136738366364
Fe3Al,111,OH*,-0.43385
VW15O48,1,OH*,2.27934912
VW15HO48,1,OH*,0.31703173
Co2P,101,OH*,-0.289118789246
Ga3Zr,111,OH*,-0.41385
Cd3Au,111,OH*,0.29615
Tl3Bi,111,OH*,0.39615
Rh3Ge,111,OH*,0.48615
Ir3Ru,111,OH*,0.49615
Ag3In,111,OH*,0.50615
Ag3Au,111,OH*,0.81615
Ga3Sc,111,OH*,-0.61385
Ir3Ti,111,OH*,-0.60385
Sc3Cd,111,OH*,-2.74385
Sc3In,111,OH*,-2.71385
Ti3In,111,OH*,-2.31385
Rh3Fe,111,OH*,0.18615
Co3Pd,111,OH*,-0.12385
Ru3Ir,111,OH*,0.08615
Zn3Mo,111,OH*,-0.30385
La3Tl,111,OH*,-2.11385
Co3Zr,111,OH*,-1.74385
Au3Zn,111,OH*,0.72615
V3Sb,111,OH*,-1.70385
Pt3Ta,111,OH*,-1.42385
Zr3Au,111,OH*,-2.31385
Re3Pt,111,OH*,-1.06385
Pt3Al,111,OH*,0.07615
Sn3Y,111,OH*,-1.06385
Ni3Hf,111,OH*,-1.04385
Ni3Zr,111,OH*,-0.95385
Pd3V,111,OH*,-0.88385
Pd3Ti,111,OH*,-0.94385
Pt3Cd,111,OH*,0.87615
Ge3Y,111,OH*,-0.88385
Y3Al,111,OH*,-2.61385
Co3Ti,111,OH*,-0.85385
MnW15O48,1,OOH*,5.15405963
Ni3Sn,111,OH*,0.19615
