material,bandgap_eV,bandgap_known,sacrificial_agent,scavenger_strength,has_cocatalyst,wavelength_nm,light_power_W,irradiation_time_h,activity_value,logH2,source_paper
CdS/SnS2,2.7,False,none/unspecified,0,True,420.0,300.0,3.0,20200.0,4.305351369446623,j.apsusc.2019.144803
MoS2,1.8,True,none/unspecified,0,False,420.0,300.0,8.0,179000.0,5.252853030979893,j.nanoen.2020.105267
Au @ MoS2,2.7,False,none/unspecified,0,False,605.0,300.0,4.0,276000.0,5.440909082065217,j.nanoen.2020.105267
MoS2,1.8,True,none/unspecified,0,False,605.0,300.0,4.0,285000.0,5.45484486000851,j.nanoen.2020.105267
ZnS,3.6,True,other,1,False,420.0,300.0,3.0,126.2,2.1010593549081156,j.ijhydene.2018.06.082
ZnS,3.6,True,other,1,False,420.0,300.0,3.0,783.6,2.894094427322699,j.ijhydene.2018.06.082
ZnS,3.6,True,other,1,False,420.0,300.0,3.0,1755.7,3.2444503091354293,j.ijhydene.2018.06.082
ZnS,3.6,True,other,1,False,420.0,300.0,3.0,1669.8,3.2226644567176868,j.ijhydene.2018.06.082
TiO2,3.2,True,ethanol,2,True,420.0,300.0,8.0,1150.0,3.060697840353612,j.ijhydene.2013.07.056
CuO/CF/TiO2,2.7,False,ethanol,2,True,420.0,300.0,8.0,2000.0,3.3010299956639813,j.ijhydene.2013.07.056
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,8.0,1512.0,3.1795517911651876,j.ijhydene.2018.06.101
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,8.0,13785.0,4.139406770441792,j.ijhydene.2018.06.101
CdS,2.4,True,none/unspecified,0,False,420.0,300.0,8.0,2953.0,3.4702634469650784,j.ijhydene.2018.06.101
Pt,0.0,True,other,1,True,420.0,300.0,8.0,12.0,1.0791812460476249,j.apcatb.2019.118182
B-CN-T,2.7,False,other,1,True,420.0,300.0,8.0,240.0,2.380211241711606,j.apcatb.2019.118182
g-C3N4,2.7,True,other,1,True,420.0,300.0,8.0,510.0,2.7075701760979363,j.apcatb.2019.118182
g-PAN/g-C3N4,2.7,False,other,1,True,420.0,300.0,8.0,370.0,2.568201724066995,j.apcatb.2019.118182
Pt,0.0,True,other,1,True,420.0,300.0,8.0,241.3,2.3825573219087857,j.apcatb.2019.118182
g-C3N4,2.7,True,other,1,True,420.0,300.0,8.0,278.0,2.444044795918076,j.apcatb.2019.118182
B-CN-T,2.7,False,other,1,True,420.0,300.0,8.0,205.0,2.311753861055754,j.apcatb.2019.118182
