material,n,median_rate,p25,p75,bandgap_eV,bandgap_known
LNO,2,285.0,277.5,292.5,2.7,False
CuCo,2,77.1,77.1,77.1,2.7,False
NTU,2,2655.0,1777.5,3532.5,2.7,False
Cr-Rh/ZGON(D),2,8.35,6.025,10.675,2.7,False
Cr2O3,2,7.65,4.825,10.475000000000001,2.7,False
MIL-125(Ti),2,6575.0,5512.5,7637.5,2.7,False
LaNi0.7Cu0.3O3,2,303.7,164.55,442.85,2.7,False
NTC11,2,522.0,363.0,681.0,2.7,False
Cu(25 %)-TiO2,2,1706.5,964.75,2448.25,2.7,False
LaFeO3/g-C3N4,2,139.5,130.25,148.75,2.7,False
NS-C3N4,2,2085.0,1096.6000000000001,3073.4,2.7,False
Cu-ZnIn2S4,2,1287.0,686.0,1888.0,2.7,False
Cu/Cu2O,2,7754.8,4067.2,11442.4,2.7,False
NH2,2,2267.5,2231.25,2303.75,2.7,False
Cu/TiO2 @ Ti3C2Tx,2,860.0,860.0,860.0,2.7,False
Cu/g-C3N4,2,22.65,21.325,23.975,2.7,False
MNW,2,266.5,209.75,323.25,2.7,False
Cu2(OH)2CO3,2,4134.035,2844.5525,5423.5175,2.7,False
Cu2-xSe,2,2012.705,1457.3175,2568.0924999999997,2.7,False
NMF,2,164.0,134.5,193.5,2.7,False
Cu2O-g-C3N4,2,422.5,212.75,632.25,2.7,False
MTCN,2,1251.45,1121.575,1381.325,2.7,False
N-NbO-10,2,6184.0,4597.0,7771.0,2.7,False
Cu2O/CdS,2,16024.0,11006.0,21042.0,2.7,False
Cu2Ocube,2,14.850000000000001,12.125,17.575,2.7,False
MXene,2,4.2425,4.24125,4.24375,2.7,False
Cu/N-TiO2,2,155.2,91.3,219.1,2.7,False
GAZO,2,4720.0,3790.0,5650.0,2.7,False
GP6,2,263.7,245.55,281.85,2.7,False
HCS,2,8247.5,4196.25,12298.750000000002,2.7,False
Ga1−xZnxO1−zNz,2,24.439999999999998,20.445,28.435,2.7,False
MoS2/Zn0.5Co0.5S,2,3940.0,3740.0,4140.0,2.7,False
MoS2/Ti3C2,2,9072.35,7608.525,10536.175,2.7,False
MoS2/MnSb2S4,2,214.26,136.58,291.94,2.7,False
Mo-BTO,2,49.0,42.0,56.0,2.7,False
Gd2BiSbO7,2,69.1215,56.26775,81.97524999999999,2.7,False
HCNMS,2,274.6,247.45,301.75,2.7,False
MoS2/Cu-ZnIn2S4,2,4246.0,3637.5,4854.5,2.7,False
H +/H2,2,952.5,578.75,1326.25,2.7,False
CuxS,2,5200.0,4600.0,5800.0,2.7,False
HCN0,2,1710.0,1085.0,2335.0,2.7,False
H0.53WO3/CdS,2,2511.5,2297.25,2725.75,2.7,False
Mo/CN,2,118.755,99.7275,137.7825,2.7,False
H1.07Ti1.73O4 ·,2,1785.0,1047.5,2522.5,2.7,False
MoS2-1.12 @ Au,2,773.91,773.655,774.165,2.7,False
H2PtCl6,2,6574.2,3361.3,9787.1,2.7,False
H2TAPP–TFPT,2,17.5,11.75,23.25,2.7,False
H2Ti3O7,2,932.0,518.0,1346.0,2.7,False
H2xZn1−xIn2S4with,2,2835.0,2307.5,3362.5,2.7,False
MoP,2,8874.0,6371.0,11377.0,2.7,False
MoO2,2,83.8,42.7,124.9,2.7,False
Mo2S12 @ MIL-101,2,24407.0,23069.5,25744.5,2.7,False
H-TiO2,2,6715.0,6362.5,7067.5,2.7,False
CuS/CdS,2,1203.25,766.625,1639.875,2.7,False
